,feature,importance,model,day_split,seed,lookback_days,lookforward_days_freezing,lookforward_days_predict
72,aqi_median,0.0,nonweather_patient_passive,0.7,0,5,2,3
55,humidity_gradient,0.0,nonweather_patient_passive,0.7,0,5,2,3
44,temperature_min_mean,0.0,nonweather_patient_passive,0.7,0,5,2,3
63,wind_speed_gradient,0.0,nonweather_patient_passive,0.7,0,5,2,3
53,humidity_range,0.0,nonweather_patient_passive,0.7,0,5,2,3
67,aqi_min,0.0,nonweather_patient_passive,0.7,0,5,2,3
0,grass_pollen_max,0.0,nonweather_patient_passive,0.7,0,5,2,3
73,aqi_latest,0.0,nonweather_patient_passive,0.7,0,5,2,3
16,weed_pollen_max,0.0,nonweather_patient_passive,0.7,0,5,2,3
4,grass_pollen_skew,0.0,nonweather_patient_passive,0.7,0,5,2,3
5,grass_pollen_gradient,0.0,nonweather_patient_passive,0.7,0,5,2,3
6,grass_pollen_median,0.0,nonweather_patient_passive,0.7,0,5,2,3
7,grass_pollen_latest,0.0,nonweather_patient_passive,0.7,0,5,2,3
8,tree_pollen_max,0.0,nonweather_patient_passive,0.7,0,5,2,3
9,tree_pollen_min,0.0,nonweather_patient_passive,0.7,0,5,2,3
10,tree_pollen_mean,0.0,nonweather_patient_passive,0.7,0,5,2,3
11,tree_pollen_range,0.0,nonweather_patient_passive,0.7,0,5,2,3
12,tree_pollen_skew,0.0,nonweather_patient_passive,0.7,0,5,2,3
13,tree_pollen_gradient,0.0,nonweather_patient_passive,0.7,0,5,2,3
1,grass_pollen_min,0.0,nonweather_patient_passive,0.7,0,5,2,3
2,grass_pollen_mean,0.0,nonweather_patient_passive,0.7,0,5,2,3
15,tree_pollen_latest,0.0,nonweather_patient_passive,0.7,0,5,2,3
14,tree_pollen_median,0.0,nonweather_patient_passive,0.7,0,5,2,3
17,weed_pollen_min,0.0,nonweather_patient_passive,0.7,0,5,2,3
24,extreme_heat,0.0,nonweather_patient_passive,0.7,0,5,2,3
36,temperature_max_mean,0.0,nonweather_patient_passive,0.7,0,5,2,3
28,temperature_mean,0.0,nonweather_patient_passive,0.7,0,5,2,3
27,temperature_min,0.0,nonweather_patient_passive,0.7,0,5,2,3
19,weed_pollen_range,0.0,nonweather_patient_passive,0.7,0,5,2,3
25,extreme_cold,0.0,nonweather_patient_passive,0.7,0,5,2,3
